termo_busca,texto_afirmacao,data_claim,fonte,url_checagem,avaliacao_original,data_publicacao
TSE,Votos de 2022 serão recontados por erros e falhas no processo eleitoral,2025-06-05T00:00:00Z,Aos Fatos,https://www.aosfatos.org/noticias/tse-nao-decidiu-retotalizar-votos-de-deputados-por-erros-ou-falhas-nas-eleicoes-de-2022/,não_é_bem_assim,2025-06-05T00:00:00Z
TSE,Bolsonaro foi aplaudido na chegada ao próprio julgamento,2025-05-26T19:15:46Z,Estadão,https://www.estadao.com.br/estadao-verifica/video-bolsonaro-aplaudido-julgamento-stf-falso/,Falso,
TSE,TSE destruiu 200 mil urnas para apagar rastros de fraude e enterrar chances de autoria nas eleições,2025-03-12T18:09:21Z,Estadão,https://www.estadao.com.br/estadao-verifica/tse-detona-200-mil-urnas-para-apagar-rastro-fraude-enganoso/,Enganoso,
TSE,TSE descarta 195 mil urnas após denúncia de golpe por Mike Benz,2025-02-28T19:25:13Z,Estadão,https://www.estadao.com.br/estadao-verifica/tse-descarta-195-mil-urnas-apos-denuncias-mike-benz/,Enganoso,
STF,Band foi pressionada a demitir comentarista após ele criticar o conluio entre o STF e a PGR contra Bolsonaro,2026-04-13T18:14:45Z,Estadão,https://www.estadao.com.br/estadao-verifica/band-demite-comentarista-stf-bolsonaro-falso/,Falso,
STF,"""Isso é gravíssimo, tentaram matar os ministros do STF. Disseram que foi falha mecânica, mas foi sabotagem. Nos motores do avião que iria viajar o ministro luiz fux e André Mendonça no mesmo. Voo""",,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/03/25/falso-sabotagem-aviao-andre-mendonca-luiz-fux.ghtm,Falso,
STF,"Ministro André Mendonça, do STF, não quer permitir a quebra de sigilo do Banco Master",2026-03-25T00:00:00Z,Aos Fatos,https://www.aosfatos.org/noticias/video-nao-mostra-mendonca-contra-quebra-sigilo-master/,falso,2026-03-25T00:00:00Z
STF,Daniel Vorcaro fez delação premiada e decidiu entregar os ministros do STF (Supremo Tribunal Federal) Alexandre de Moraes e Dias Toffoli e o presidente Lula (PT),2026-03-23T00:00:00Z,Aos Fatos,https://www.aosfatos.org/noticias/video-ia-engana-vorcaro-delatou-moraes-toffoli-lula/,falso,2026-03-23T00:00:00Z
STF,Vorcaro surtou na prisão e admitiu pagamentos a ministros do STF e para o governo Lula,2026-03-06T00:00:00Z,AFP Checamos,https://checamos.afp.com/doc.afp.com.A38E2G3,Falso,2026-03-13T21:21:00Z
STF,"Daniel Vorcaro surtou na prisão e ""entregou tudo"". O nome de Lula e do STF na boca do banqueiro",,BOL - UOL,https://www.bol.uol.com.br/noticias/2026/03/11/falso-surto-vorcaro-prisao.htm,Falso,
STF,"Daniel Vorcaro surtou na prisão e ""entregou tudo"". O nome de Lula e do STF na boca do banqueiro",,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/03/11/falso-surto-vorcaro-prisao.htm,Falso,
STF,"Em vídeo, jornalista diz que Vorcaro surtou na cadeia e confessou ter feito pagamentos a Lula e ao STF",2026-03-10T00:00:00Z,Aos Fatos,https://www.aosfatos.org/noticias/falso-vorcaro-confessou-ter-feito-pagamentos-lula-ministros-stf/,falso,2026-03-10T00:00:00Z
STF,Daniel Vorcaro surta na prisão e delata Lula e membros do STF,2026-03-09T19:23:34Z,Estadão,https://www.estadao.com.br/estadao-verifica/daniel-vorcaro-surto-prisao-delacao-lula-stf-falso/,Falso,
STF,Ministro do STF André Mendonça sofreu atentado,2026-02-26T17:13:57Z,Estadão,https://www.estadao.com.br/estadao-verifica/stf-andre-mendonca-atentado-banco-master-falso/,Falso,
STF,"Ministro André Mendonça não quer a quebra do sigilo do Banco Master, enquanto Moraes defende a abertura",2026-03-22T12:07:37Z,Estadão,https://www.estadao.com.br/estadao-verifica/video-fora-de-contexto-alega-falsamente-que-andre-mendonca-nao-quer-quebrar-sigilo-do-banco-master/,Fora de contexto,
lula,Lula foi recebido com chuva de ovos em Portugal,2026-04-24T13:36:32Z,Estadão,https://www.estadao.com.br/estadao-verifica/lula-ovada-em-portugal-falso-inteligencia-artificial/,Falso,
lula,Lula diz que o povo brasileiro daria a vida por ele em caso de guerra com os EUA,2026-04-22T17:57:11Z,Estadão,https://www.estadao.com.br/estadao-verifica/lula-povo-brasileiro-daria-a-vida-por-ele-trump-falso/,Falso,
lula,Presidente Luiz Inácio Lula da Silva disse que a mulher tem que ficar em casa para dar banho e jantar para os filhos e marido.,2026-04-16T14:15:28Z,Estadão,https://www.estadao.com.br/estadao-verifica/enganoso-lula-mulher-ficar-casa-jantar-filhos-marido/,Enganoso,
lula,Lula diz que brasileiros estão dispostos a dar a vida por ele em uma eventual guerra,2026-04-22T00:00:00Z,Aos Fatos,https://www.aosfatos.org/noticias/lula-brasileiros-dispostos-vida/,falso,2026-04-22T00:00:00Z
lula,"‘Se Flávio Bolsonaro vencer, eu vou embora para Cuba’, diz Lula",2026-04-24T00:00:00Z,Aos Fatos,https://www.aosfatos.org/noticias/lula-cuba-flavio-bolsonaro/,falso,2026-04-24T00:00:00Z
lula,"Lula diz, em áudio, que só venceu a eleição porque o povo nordestino é analfabeto",2026-04-13T00:00:00Z,Aos Fatos,https://www.aosfatos.org/noticias/lula-nao-disse-que-foi-eleito-porque-o-povo-nordestino-e-analfabeto/,falso,2026-04-13T00:00:00Z
lula,"Lula diz que, se Trump invadir Cuba, Brasil estará pronto para ajudar a proteger a ‘soberania’ do país",2026-04-20T00:00:00Z,Aos Fatos,https://www.aosfatos.org/noticias/lula-brasil-cuba-eua/,falso,2026-04-20T00:00:00Z
lula,Lula destino a 15 milhões de reais as empresas do oriente médio afetada pela guerra e esse dinheiro sai do bolso do povo brasileiro,2026-04-08T17:30:47Z,Estadão,https://www.estadao.com.br/estadao-verifica/lula-15-bilhoes-empresas-oriente-medio/,Falso,
lula,Lula disse em discurso que ‘trabalhador é pra trabalhar’ e que ir ao teatro e ao cinema é ‘coisa de gente chique’,2026-03-31T00:00:00Z,Aos Fatos,https://www.aosfatos.org/noticias/lula-trabalhadores-teatro-cinema/,falso,2026-03-31T00:00:00Z
lula,"""A pessoa tem que aprender a tirar a bunda da cadeira e andar um pouco""",2026-03-17T16:28:40Z,Observador,https://observador.pt/factchecks/fact-check-presidente-lula-da-silva-aconselha-brasileiros-a-andar-a-pe-perante-subida-do-preco-dos-combustiveis/,Enganador,2026-03-25T16:27:07Z
bolsonaro,Vídeos de personalidades públicas brasileiras criticando Bolsonaro,2026-04-11T00:00:00Z,AFP Checamos,https://checamos.afp.com/doc.afp.com.A96M7KE,Falso,2026-04-28T00:04:00Z
bolsonaro,Daniel Vorcaro entregou em delação quem foi responsável pelo atentado contra Bolsonaro em 2018,2026-04-28T00:00:00Z,Aos Fatos,https://www.aosfatos.org/noticias/vorcaro-delatou-mandante-atentado-bolsonaro/,falso,2026-04-28T00:00:00Z
bolsonaro,Juíza corajosa desafia Moraes e manda libertar Jair Bolsonaro,,BOL - UOL,https://www.bol.uol.com.br/noticias/2026/04/27/falso-juiza-mandou-libertar-jair-bolsonaro.ghtm,Falso,
bolsonaro,Juíza corajosa desafia Moraes e manda libertar Jair Bolsonaro,,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/04/27/falso-juiza-mandou-libertar-jair-bolsonaro.ghtm,Falso,
bolsonaro,Juíza desafia Moraes e ordena soltura de Jair Bolsonaro,2026-04-24T00:00:00Z,Aos Fatos,https://www.aosfatos.org/noticias/juiza-mandou-soltar-bolsonaro/,falso,2026-04-24T00:00:00Z
bolsonaro,Ulysses Guimarães critica Bolsonaro em 1988,2026-04-03T00:00:00Z,AFP Checamos,https://checamos.afp.com/doc.afp.com.A8FJ8T4,Falso,2026-04-20T21:36:00Z
bolsonaro,Bolsonaro não usou cartões corporativos enquanto era presidente,2026-04-17T00:00:00Z,Aos Fatos,https://www.aosfatos.org/noticias/bolsonaro-cartao-corporativo/,falso,2026-04-17T00:00:00Z
bolsonaro,Em 1988 Raul Seixas se assusta com Bolsonaro,2026-04-05T00:00:00Z,AFP Checamos,https://checamos.afp.com/doc.afp.com.A8472T3,Falso,2026-04-16T21:58:00Z
bolsonaro,Paulo Guedes disse que Bolsonaro dependia dos filhos para aprovar tudo na Presidência,2026-04-15T00:00:00Z,Aos Fatos,https://www.aosfatos.org/noticias/guedes-bolsonaro-nao-mandava-em-nada/,falso,2026-04-15T00:00:00Z
bolsonaro,Alexandre Frota confessou ter namorado Jair Bolsonaro por dois anos,2026-04-15T16:57:06Z,Estadão,https://www.estadao.com.br/estadao-verifica/alexandre-frota-namorou-bolsonaro-enganoso/,Enganoso,
bolsonaro,Alexandre Frota confessa que foi namorado de Bolsonaro por dois anos o artista pornográfico era namorado de Bolsonaro,,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/04/15/falso-alexandre-frota-namorou-jair-bolsonaro.ghtm,Falso,
anistia,PL da Dosimetria anistia Bolsonaro e condenados pelo 8 de Janeiro,2025-12-10T00:00:00Z,Aos Fatos,https://www.aosfatos.org/noticias/pl-da-dosimetria-nao-anistia-bolsonaro-condenados-8-de-janeiro/,falso,2025-12-10T00:00:00Z
anistia,Ato a favor da anistia reuniu uma multidão em Copacabana no domingo (7/12),,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2025/12/09/enganoso-video-manifestacao-anistia-bolsonaro-copacabana.htm,Distorcido,
anistia,PL da Anistia é aprovado pela Câmara dos Deputados,2025-11-27T00:00:00Z,AFP Checamos,https://checamos.afp.com/doc.afp.com.86UK6NR,Enganoso,2025-12-02T17:27:00Z
anistia,Famosos pedem anistia a Bolsonaro,2025-11-27T19:58:56Z,Estadão,https://www.estadao.com.br/estadao-verifica/fotos-artistas-liberdade-bolsonaro-inteligencia-artificial/,Falso,
anistia,"Vídeo mostra manifestação contra PL da Dosimetria neste domingo, 14, em Salvador",2025-12-15T19:12:56Z,Estadão,https://www.estadao.com.br/estadao-verifica/manifestacao-pl-da-dosimetria-salvador/,Enganoso,
anistia,Ministra Cármen Lúcia chora e admite apoiar anistia que tramita no Congresso,2025-10-03T12:50:33Z,Estadão,https://www.estadao.com.br/estadao-verifica/carmen-lucia-apoiar-anistia-que-tramita-no-congresso-falso/,Falso,
anistia,Personalidades fazem campanha em apoio a Jair Bolsonaro,2025-10-17T00:00:00Z,AFP Checamos,https://checamos.afp.com/doc.afp.com.79P33CR,Falso,2025-10-22T21:51:00Z
anistia,Manifestação contra anistia em Brasília fracassa,2025-09-23T13:05:01Z,Estadão,https://www.estadao.com.br/estadao-verifica/publico-ato-brasilia-anistia-pec-blindagem-enganoso/,Enganoso,
anistia,Vídeo mostra manifestação contra anistia em 21 de setembro de 2025,2025-09-22T00:00:00Z,Aos Fatos,https://www.aosfatos.org/noticias/posts-compartilham-video-de-ia-como-se-fosse-registro-real-de-ato-na-paulista/,falso,2025-09-22T00:00:00Z
anistia,Comparação dos anistiados durante a ditadura militar com os condenados pelos atos antidemocráticos de 8 de janeiro de 2023,2025-10-08T00:00:00Z,Agência Tatu de Jornalismo de Dados,https://www.agenciatatu.com.br/noticia/8-de-janeiro-lei-anistia/,Checamos,2025-10-08T00:00:00Z
eleições 2026,Nova pesquisa mostra Flávio Bolsonaro à frente de Lula em Pernambuco,2026-04-07T00:00:00Z,AFP Checamos,https://checamos.afp.com/doc.afp.com.A7MM963,Falso,2026-04-13T21:44:00Z
eleições 2026,Haddad ganhará no primeiro turno em SP segundo a pesquisa AtlasIntel,2026-04-08T00:00:00Z,AFP Checamos,https://checamos.afp.com/doc.afp.com.A83P9ZQ,Enganoso,2026-04-16T19:52:00Z
eleições 2026,Eleição sem internet: Lula pede ao TSE para proibir vídeos durante eleições,2026-04-06T00:00:00Z,AFP Checamos,https://checamos.afp.com/doc.afp.com.A7BG6T4,Falso,2026-04-09T21:28:00Z
eleições 2026,Flávio Bolsonaro disse no Rio Grande do Sul que aumentará a idade para aposentar para 75 e 72 anos e que cortará direitos trabalhistas,2026-04-12T00:00:00Z,AFP Checamos,https://checamos.afp.com/doc.afp.com.A8EY39E,Falso,2026-04-20T17:54:00Z
eleições 2026,Flávio Bolsonaro disse em Porto Alegre que irá privatizar o SUS no mesmo dia que tomar posse como presidente,2026-04-13T00:00:00Z,AFP Checamos,https://checamos.afp.com/doc.afp.com.A8878G3,Falso,2026-04-17T17:44:00Z
eleições 2026,"De 2023 até agora, já entraram 811 mil chineses no Brasil",2026-04-16T16:08:51Z,Estadão,https://www.estadao.com.br/estadao-verifica/811-mil-chineses-brasil-titulo-de-eleitor/,Falso,
eleições 2026,Revista Veja diz que o Nordeste abraçou Flávio Bolsonaro,2026-03-22T00:00:00Z,AFP Checamos,https://checamos.afp.com/doc.afp.com.A4PT9G3,Falso,2026-03-25T20:34:00Z
eleições 2026,Bolsonaro diz que se recusa estar inelegível e anuncia candidatura para Presidência em 2026,2025-06-10T15:50:12Z,Estadão,https://www.estadao.com.br/estadao-verifica/bolsonaro-anuncia-candidatura-2026-falso/,Falso,
eleições 2026,Agora é oficial: Bolsonaro será candidato para a Presidência em 2026,2024-12-16T18:18:59Z,Estadão,https://www.estadao.com.br/estadao-verifica/bolsonaro-candidato-presidente-2026-falso/,Falso,
eleições 2026,"Líder do governo no Senado, Jaques Wagner propõe adiar eleições de 2026",2025-10-06T19:40:53Z,Estadão,https://www.estadao.com.br/estadao-verifica/jaques-wagner-propoe-adiar-eleicao-2026-enganoso/,Enganoso,
presidente do brasil,Paulo Guedes disse que Bolsonaro dependia dos filhos para aprovar tudo na Presidência,2026-04-15T00:00:00Z,Aos Fatos,https://www.aosfatos.org/noticias/guedes-bolsonaro-nao-mandava-em-nada/,falso,2026-04-15T00:00:00Z
presidente do brasil,Flávio Bolsonaro disse que irá privatizar o SUS no dia em que tomar posse como presidente da República,2026-04-14T19:00:52Z,Estadão,https://www.estadao.com.br/estadao-verifica/flavio-bolsonaro-privatizar-sus-falso/,Falso,
presidente do brasil,"Paulo Guedes diz que Bolsonaro não mandava na presidência e dependia dos filhos Eduardo e Flávio para aprovar tudo. Guedes diz que “cansava de reclamar que os filhos queriam colocar o dinheiro dos negócios junto com o Queiroz no orçamento secreto, sendo que o presidente Bolsonaro não sabia de nada”.",2026-04-14T19:53:07Z,Estadão,https://www.estadao.com.br/estadao-verifica/video-paulo-guedes-filhos-bolsonaro-mandavam-presidencia-ia-falso/,Falso,
presidente do brasil,Presidente do Brasil recebendo muçulmanos que pediram refúgio. Irão receber 7 mil reais por mês por 6 meses pela Operação Acolhida,,BOL - UOL,https://www.bol.uol.com.br/noticias/2026/04/07/e-falso-que-operacao-acolhida-da-r-7-mil-por-mes-a-refugiados-muculmanos.ghtm,Falso,
presidente do brasil,Presidente do Brasil recebendo muçulmanos que pediram refúgio. Irão receber 7 mil reais por mês por 6 meses pela Operação Acolhida,,BOL - UOL,https://www.bol.uol.com.br/noticias/2026/04/07/e-falso-que-operacao-acolhida-da-r-7-mil-por-mes-a-refugiados-muculmanos.amp.htm,Falso,2026-04-07T14:41:34Z
presidente do brasil,Presidente do Brasil recebendo muçulmanos que pediram refúgio. Irão receber 7 mil reais por mês por 6 meses pela Operação Acolhida,,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/04/07/e-falso-que-operacao-acolhida-da-r-7-mil-por-mes-a-refugiados-muculmanos.ghtm,Falso,
presidente do brasil,Lula disse que Brasil vai defender Cuba em caso de invasão norte-americana,2026-04-20T00:00:00Z,AFP Checamos,https://checamos.afp.com/doc.afp.com.A9A769E,Enganoso,2026-04-28T23:10:00Z
presidente do brasil,Trump diz que Lula tem sangue de ‘lampião a álcool’,2026-04-27T00:00:00Z,Aos Fatos,https://www.aosfatos.org/noticias/trump-lula-sangue-lampiao-alcool/,falso,2026-04-27T00:00:00Z
presidente do brasil,"""Lula endurece tom com Trump e diz que todo o brasileiro está disposto a defender a sua soberania e a de Cuba também.""",2026-04-24T16:04:38Z,Observador,https://observador.pt/factchecks/fact-check-lula-da-silva-disse-que-brasil-esta-disposto-a-defender-soberania-de-cuba/,Errado,2026-04-27T16:03:59Z
presidente do brasil,Lula diz que brasileiros estão dispostos a dar a vida por ele em uma eventual guerra,2026-04-22T00:00:00Z,Aos Fatos,https://www.aosfatos.org/noticias/lula-brasileiros-dispostos-vida/,falso,2026-04-22T00:00:00Z
presidente do brasil,Lula diz que o povo brasileiro daria a vida por ele em caso de guerra com os EUA,2026-04-22T17:57:11Z,Estadão,https://www.estadao.com.br/estadao-verifica/lula-povo-brasileiro-daria-a-vida-por-ele-trump-falso/,Falso,
presidente do brasil,"Lula diz que, se Trump invadir Cuba, Brasil estará pronto para ajudar a proteger a ‘soberania’ do país",2026-04-20T00:00:00Z,Aos Fatos,https://www.aosfatos.org/noticias/lula-brasil-cuba-eua/,falso,2026-04-20T00:00:00Z
INSS,Vídeo mostra médico discutindo com servidores do INSS após pacientes terem benefícios negados,2026-03-04T00:00:00Z,Aos Fatos,https://www.aosfatos.org/noticias/falso-video-mostra-medico-contestando-negativa-beneficios-inss/,falso,2026-03-04T00:00:00Z
INSS,Lula e Janja pagaram R$ 31 milhões em ternos a alfaiate envolvido em fraude do INSS,2026-02-09T16:47:37Z,Estadão,https://www.estadao.com.br/estadao-verifica/lula-e-janja-pagaram-r-31-milhoes-em-ternos-alfaiate-fraude-inss/,Enganoso,
INSS,Polícia Federal encontrou R$ 4 milhões desviados do INSS em contas associadas a Lula,2025-12-19T00:00:00Z,Aos Fatos,https://www.aosfatos.org/noticias/pf-nao-encontrou-r-4-milhoes-desviados-do-inss-em-contas-ligadas-a-lula/,falso,2025-12-19T00:00:00Z
INSS,Polícia Federal acha R$ 4 milhões do INSS em contas bancárias associadas a Lula,,BOL - UOL,https://www.bol.uol.com.br/noticias/2025/11/27/falso-pf-descobre-r-4-milhoes-inss-conta-lula.htm,Falso,
INSS,Polícia Federal acha R$ 4 milhões do INSS em contas bancárias associadas a Lula,,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2025/11/27/falso-pf-descobre-r-4-milhoes-inss-conta-lula.htm,Falso,
INSS,Governo federal começou a pagar no dia 17/11 um valor extra de R$ 1.150 a beneficiários do INSS,2025-11-19T00:00:00Z,Aos Fatos,https://www.aosfatos.org/noticias/e-falso-que-governo-federal-vai-pagar-beneficio-extra-de-r-1150-a-beneficiarios-do-inss/,falso,2025-11-19T00:00:00Z
INSS,STF descobriu que Lula foi o mandante da fraude no INSS,2025-11-18T00:00:00Z,Aos Fatos,https://www.aosfatos.org/noticias/e-falso-que-lula-foi-apontado-como-mandante-do-esquema-de-descontos-ilegais-do-inss/,falso,2025-11-18T00:00:00Z
INSS,Fraudes no INSS financiaram campanhas eleitorais do PT,2025-10-03T19:36:50Z,Estadão,https://www.estadao.com.br/estadao-verifica/careca-inss-financiou-campanha-pt-dilma-enganoso/,Enganoso,
INSS,Irmãos de Lula e Flávio Dino estão envolvidos no esquema do INSS,2025-10-02T00:00:00Z,Aos Fatos,https://www.aosfatos.org/noticias/irmaos-de-lula-e-de-flavio-dino-nao-sao-investigados-por-fraude-no-inss/,falso,2025-10-02T00:00:00Z
INSS,"Foto mostra o “careca do INSS”, amiguinho de farra dos tempos da motociata",2025-09-12T00:00:00Z,AFP Checamos,https://checamos.afp.com/doc.afp.com.74QP6G3,Falso,2025-09-16T21:48:00Z
INSS,Ladrões do INSS roubaram 500 mil crianças,2025-09-12T19:38:11Z,Estadão,https://www.estadao.com.br/estadao-verifica/emprestimos-consignados-menores-de-idade-inss-fraude-enganoso/,Enganoso,
escala 6x1,"Flávio Bolsonaro disse que vai revogar o fim da escala 6x1, caso seja eleito",2026-04-24T00:00:00Z,Aos Fatos,https://www.aosfatos.org/noticias/flavio-bolsonaro-escala-6x1/,falso,2026-04-24T00:00:00Z
escala 6x1,PEC do fim da escala 6x1 não tem estudo de viabilidade,2024-11-14T18:59:00Z,Estadão,https://www.estadao.com.br/estadao-verifica/pec-escala-6x1-estudo-de-viabilidade-enganoso/,Enganoso,
escala 6x1,Dias de folga e faltas dos deputados que se opuseram à PL contra a escala 6x1,2024-11-21T20:06:33Z,Estadão,https://www.estadao.com.br/estadao-verifica/faltas-folgas-deputados-pec-escala-6x1/,Enganoso,
escala 6x1,"que Nikolas Ferreira teve em 2025, 185 presenças, 103 dias de folga, 55 dias de férias e 22 faltas",2026-02-11T17:22:47Z,Estadão,https://www.estadao.com.br/estadao-verifica/nikolas-ferreira-falta-camara-dos-deputados/,Enganoso,
escala 6x1,Deputada federal Rosângela Moro trabalhou 82 dias em 2024 e folgou outros 283,2025-01-08T13:33:13Z,Estadão,https://www.estadao.com.br/estadao-verifica/rosangela-moro-so-trabalhou-82-dias-enganoso/,Enganoso,
escala 6x1,Jair Bolsonaro sobre escala 6x1: É BÍBLICO!,2024-11-15T00:00:00Z,AFP Checamos,https://checamos.afp.com/doc.afp.com.36MW468,Falso,2024-11-19T21:47:00Z
escala 6x1,Deputada Erika Hilton faltou em 33% das sessões na Câmara,2024-11-15T15:49:25Z,Estadão,https://www.estadao.com.br/estadao-verifica/erika-hilton-faltou-33-das-sessoes-da-camara-falso/,Falso,
PT,"‘Se Flávio Bolsonaro vencer, eu vou embora para Cuba’, diz Lula",2026-04-24T00:00:00Z,Aos Fatos,https://www.aosfatos.org/noticias/lula-cuba-flavio-bolsonaro/,falso,2026-04-24T00:00:00Z
PT,Lula diz que brasileiros estão dispostos a dar a vida por ele em uma eventual guerra,2026-04-22T00:00:00Z,Aos Fatos,https://www.aosfatos.org/noticias/lula-brasileiros-dispostos-vida/,falso,2026-04-22T00:00:00Z
PT,banco Master nunca existiu,2026-04-14T19:04:08Z,Estadão,https://www.estadao.com.br/estadao-verifica/falso-banco-master-lavagem-de-dinheiro-partido-dos-trabalhadores/,Falso,
PT,"Lula diz, em áudio, que só venceu a eleição porque o povo nordestino é analfabeto",2026-04-13T00:00:00Z,Aos Fatos,https://www.aosfatos.org/noticias/lula-nao-disse-que-foi-eleito-porque-o-povo-nordestino-e-analfabeto/,falso,2026-04-13T00:00:00Z
PT,Eleição sem internet: Lula pede ao TSE para proibir vídeos durante eleições,2026-04-06T00:00:00Z,AFP Checamos,https://checamos.afp.com/doc.afp.com.A7BG6T4,Falso,2026-04-09T21:28:00Z
PT,"Funcionários do PT ganharam Mega da Virada de 2025 com prêmio acumulado de R$ 1,09 bilhão",,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/01/07/assessores-do-pt-nao-ganharam-mega-da-virada-de-r-1-bi-noticia-e-de-2024.htm,Distorcido,
PT,Grupo de assessores do PT ganhou prêmio de R$ 120 milhões na Mega da Virada de 2025,2026-01-07T13:34:16Z,Estadão,https://www.estadao.com.br/estadao-verifica/assessores-pt-mega-sena-120-milhoes-2019-enganoso/,Enganoso,
PT,Assessores do PT ganharam R$ 120 milhões na Mega-Sena da virada de 2026,,BOL - UOL,https://www.bol.uol.com.br/noticias/2026/01/05/assessores-do-pt-ganharam-r-120-milhoes-na-mega-sena-em-2019.htm,Distorcido,
