id_registro,texto_principal,label,label_detalhe,pipeline_origem,portal_origem,origem_texto,origem_qualidade,tamanho_chars,data_publicacao,url_origem,faixa_tamanho
GFC_NEG_00161,"O Fed, o Federal Reserve, o banco central americano está começando nessa semana de 3 de abril uma mudança histórica na condução da economia dos Estados Unidos. A partir de agora e progressivamente, as cédulas de papel que todos nós conhecemos não serão mais aceitas em transações de cash, ou seja, pagamento à vista ou para qualquer outro tipo de transação. Elas deverão sair de circulação para dar lugar às transações digitais. Não vai haver mais dinheiro de papel circulando em território americano e isso já está causando muita polêmica e medo, já que a sociedade está acostumada com o uso das notas. Nem mesmo nos bancos, nas contas individuais, vai haver mais dinheiro de papel""",0,FALSO,google_factcheck,UOL_NOTÍCIAS,AFIRMACAO_CHECADA,ROTULO_FORTE,683,2023-04-13,https://noticias.uol.com.br/confere/ultimas-noticias/2023/04/13/estados-unidos-nao-vao-acabar-com-cedulas-de-dolar.htm,400_mais
GFC_VER_00013,Ministro Flávio Dino criticou sistema eleitoral do país no passado. Só vale contra Bolsonaro?,1,GFC_VERDADEIRO,google_factcheck,PROJETO_COMPROVA,AFIRMACAO_CHECADA,ROTULO_FORTE,93,2023-07-13,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/tuites-antigos-de-flavio-dino-com-criticas-ao-sistema-eleitoral-sao-verdadeiros-entenda-o-contexto/,50_100
GFC_NEG_00140,STM decretou que eleições foram fraudadas; Bolsonaro segue presidente e Congresso e STF foram destituídos,0,FALSO,google_factcheck,AOS_FATOS,AFIRMACAO_CHECADA,ROTULO_FORTE,105,2022-12-05,https://www.aosfatos.org/noticias/falso-stm-decretou-bolsonaro-fique-na-presidencia/,100_150
RSS_00183,"MP aciona TCU para investigar uso de incentivos fiscais em filme de Bolsonaro — Após vazamento das conversas entre senador Flávio Bolsonaro e ex-banqueiro do Master negociando patrocínio para o filme sobre Jair Bolsonaro, subprocurador-geral Lucas Furtado protocola representação pedindo que TCU investigue uso de incentivos fiscais e de recursos públicos, direta ou indiretamente, na produção do audiovisual",1,NOTICIA_REAL,noticias_reais,CORREIO_BRAZILIENSE,titulo_resumo,ROTULO_ASSUMIDO,408,2026-05-15,https://www.correiobraziliense.com.br/politica/2026/05/7420791-mp-aciona-tcu-para-investigar-subsidios-em-filme-de-bolsonaro.html,400_mais
RSS_00048,'7 Leituras' começa sua edição de 20 anos com peça adaptada por Hitchcock,1,NOTICIA_REAL,noticias_reais,UOL_NOTICIAS,titulo,ROTULO_ASSUMIDO,73,,https://guia.folha.uol.com.br/teatro/2026/05/7-leituras-comeca-sua-edicao-de-20-anos-com-peca-adaptada-por-hitchcock.shtml,50_100
GFC_NEG_00242,"Lockdown climático já começou. Olha a palhaçada, lockdown de novo. Tudo provocado pela extrema esquerda",0,ENGANOSO,google_factcheck,ESTADÃO,AFIRMACAO_CHECADA,ROTULO_FORTE,103,,https://www.estadao.com.br/estadao-verifica/decreto-para-emergencia-climatica-lockdown/,100_150
GFC_NEG_00076,Alô Alexandre de Moraes - os índios do município de Manicoré querem saber aonde foi parar os votos que eles depositaram nas urnas. Será que alguém poderia garantir esse direito?,0,FALSO,google_factcheck,BOATOS.ORG,AFIRMACAO_CHECADA,ROTULO_FORTE,177,2022-11-06,https://www.boatos.org/politica/manicore-am-zero-votos-para-bolsonaro-urnas-foram-fraudadas-cidade.html,150_200
GFC_NEG_00078,"Bolsonaro assinou MP decidindo que planos de saúde só precisam cobrir tratamentos que estejam na lista da Conitec. Quem tem câncer, doenças raras, ficará sem tratamento. Conitec é que autorizou cloroquina para covid",0,FALSO,google_factcheck,PROJETO_COMPROVA,AFIRMACAO_CHECADA,ROTULO_FORTE,215,2022-03-09,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/mp-assinada-por-bolsonaro-nao-impede-atendimento-de-pessoas-com-cancer/,200_300
GFC_NEG_00129,Só poderão utilizar o Pix aqueles que estiverem com impostos em dia,0,ENGANOSO,google_factcheck,ESTADÃO,AFIRMACAO_CHECADA,ROTULO_FORTE,67,,https://www.estadao.com.br/estadao-verifica/cancelamento-pix-pagamento-impostos-enganoso/,50_100
GFC_NEG_00011,Comprovante de vacinação contra a covid-19 está sendo exigido para regularizar título de eleitor em São Pedro da Aldeia (RJ),0,FORA_DE_CONTEXTO,google_factcheck,UOL_NOTÍCIAS,AFIRMACAO_CHECADA,ROTULO_FORTE,124,2022-05-03,https://noticias.uol.com.br/confere/ultimas-noticias/2022/05/03/rj-deixou-de-exigir-vacina-para-regularizar-titulo-de-eleitor-presencial.htm,100_150
RSS_00133,Aliados de Flávio temem contágio e defendem Cláudio Castro fora da disputa ao Senado pelo Rio,1,NOTICIA_REAL,noticias_reais,FOLHA_PODER,titulo,ROTULO_ASSUMIDO,93,2026-05-15,https://redir.folha.com.br/redir/online/poder/rss091/*https://www1.folha.uol.com.br/poder/2026/05/aliados-de-flavio-temem-contagio-e-defendem-claudio-castro-fora-da-disputa-ao-senado-pelo-rio.shtml,50_100
GFC_NEG_00237,"Se explorar esse petróleo tiver problemas para a Amazônia, certamente não será explorado. Mas eu acho difícil, porque é a 530 km de distância da Amazônia",0,FALSO,google_factcheck,AOS_FATOS,AFIRMACAO_CHECADA,ROTULO_FORTE,153,2023-05-24,https://www.aosfatos.org/noticias/checamos-lula-exterior-petrobras-amazonia/,150_200
GFC_NEG_00138,Vocês acreditam que o marketing do PT clonou um evento em taperoá -PB dizendo que era um evento deles?,0,FALSO,google_factcheck,BOATOS.ORG,AFIRMACAO_CHECADA,ROTULO_FORTE,102,2022-08-31,https://www.boatos.org/politica/lula-usou-foto-missa-taperoa-pb-para-ilustrar-suposto-comicio.html,100_150
GFC_NEG_00238,Descobriu-se agora que o presidente Lula tem fortuna milionária e teve R$ 18 milhões em impostos da Receita Federal suspensos pelo Supremo Tribunal Federal,0,FORA_DE_CONTEXTO,google_factcheck,ESTADÃO,AFIRMACAO_CHECADA,ROTULO_FORTE,155,,https://www.estadao.com.br/estadao-verifica/lula-18-milhoes-impostos-fora-de-contexto/,150_200
RSS_00216,"INSS. Ex-ministro de Bolsonaro justifica fraude: ""Falta de estrutura"" — Ex-ministro de Bolsonaro, José Carlos Oliveira, agora Ahmed Mohamad, depõe me CPMI do INSS nesta quinta (11)",1,NOTICIA_REAL,noticias_reais,METROPOLES,titulo_resumo,ROTULO_ASSUMIDO,180,2025-09-11,https://www.metropoles.com/brasil/inss-ex-ministro-de-bolsonaro-justifica-fraude-falta-de-estrutura,150_200
RSS_00173,Fui assaltada. Fique sem celular e sem história,1,NOTICIA_REAL,noticias_reais,UOL_NOTICIAS,titulo,ROTULO_ASSUMIDO,47,,https://www1.folha.uol.com.br/colunas/becky-korich/2026/05/fui-assaltada-fique-sem-celular-e-sem-historia.shtml,0_50
GFC_NEG_00073,O MST incendiou estes carros,0,FALSO,google_factcheck,AFP_CHECAMOS,AFIRMACAO_CHECADA,ROTULO_FORTE,28,2023-03-13,https://checamos.afp.com/doc.afp.com.33BA6YC,0_50
GFC_NEG_00163,Gleisi Hoffmann previu derrota do PT em áudio gravado após primeiro debate de 2022,0,FALSO,google_factcheck,AFP_CHECAMOS,AFIRMACAO_CHECADA,ROTULO_FORTE,82,2022-09-10,https://checamos.afp.com/doc.afp.com.32J34VY,50_100
RSS_00178,"Eduardo Bolsonaro mostra que não liga pro Brasil, o medo é ser preso — Filho do presidente, Eduardo Bolsonaro mostra que só se preocupa mesmo é com si mesmo. Critíca Tarcísio e desafia Moraes. Brasil por último.",1,NOTICIA_REAL,noticias_reais,METROPOLES,titulo_resumo,ROTULO_ASSUMIDO,211,2025-07-15,https://www.metropoles.com/blog-do-noblat/eduardo-bolsonaro-mostra-que-nao-liga-pro-brasil-o-medo-e-ser-preso,200_300
GFC_NEG_00251,"Lula disse: 'Não se ganha copa com hospitais, vou construir estádios de futebol'; 'Ainda bem que a ‘natureza’ criou o coronavírus'; 'Um político ladrão é mais digno que um funcionário público'; 'Eu não vou enganar o povo mais uma vez'; e 'Eu não posso ver mais jovem de 14, 15 anos, assaltando e sendo violentado pela polícia só porque roubou um celular'",0,ENGANOSO,google_factcheck,AFP_CHECAMOS,AFIRMACAO_CHECADA,ROTULO_FORTE,354,2025-02-25,https://checamos.afp.com/doc.afp.com.36YN422,300_400
GFC_NEG_00119,Alexandre de Moraes disse: “vamos corroer a democracia por dentro”,0,FALSO,google_factcheck,AOS_FATOS,AFIRMACAO_CHECADA,ROTULO_FORTE,66,2024-04-18,https://www.aosfatos.org/noticias/falso-alexandre-de-moraes-corroer-a-democracia-por-dentro/,50_100
GFC_NEG_00127,Inquérito militar aponta que Lula foi responsável por destruir relógio de dom João 6º em 8/1,0,FALSO,google_factcheck,AOS_FATOS,AFIRMACAO_CHECADA,ROTULO_FORTE,92,2023-08-02,https://www.aosfatos.org/noticias/texto-satirico-lula-relogio-8-de-janeiro/,50_100
GFC_NEG_00233,"Quatro vídeos que circulam nas redes sociais mostram eleitores tentando acessar os dados da votação de suas respectivas seções eleitorais no site do TSE. No entanto, o número de nenhuma das seções aparece na plataforma. Os casos são de dois eleitores que votaram no exterior (em Toronto, no Canadá, e em Miami, nos Estados Unidos) e dois que votaram no Brasil (em Colíder, em Mato Grosso, e Passos, em Minas Gerais). Nos vídeos, os cidadãos alegam que os votos não foram computados e que, portanto, teria havido fraude no pleito.",0,ENGANOSO,google_factcheck,FOLHA_-_UOL,AFIRMACAO_CHECADA,ROTULO_FORTE,529,2022-11-16,https://www1.folha.uol.com.br/poder/2022/11/secoes-eleitorais-que-nao-aparecem-em-site-do-tse-foram-agregadas-a-outras.shtml,400_mais
RSS_00063,"Flávio fala em 'zero dinheiro público', mas produtora de filme tem elo com emendas e verba da Prefeitura de SP",1,NOTICIA_REAL,noticias_reais,FOLHA_PODER,titulo,ROTULO_ASSUMIDO,110,2026-05-14,https://redir.folha.com.br/redir/online/poder/rss091/*https://www1.folha.uol.com.br/poder/2026/05/flavio-fala-em-zero-dinheiro-publico-mas-produtora-de-filme-tem-elo-com-emendas-e-verba-da-prefeitura-de-sp.shtml,100_150
RSS_00003,"'Ele merece ou não este filme?', diz Flávio Bolsonaro ao defender uso de verba para obra sobre o pai",1,NOTICIA_REAL,noticias_reais,FOLHA_PODER,titulo,ROTULO_ASSUMIDO,100,2026-05-15,https://redir.folha.com.br/redir/online/poder/rss091/*https://www1.folha.uol.com.br/poder/2026/05/ele-merece-ou-nao-este-filme-diz-flavio-bolsonaro-ao-defender-uso-de-verba-para-obra-sobre-o-pai.shtml,100_150
GFC_NEG_00177,Mulher diz que está comprando mais produtos com o Bolsa-Família do que comprava com o Auxílio-Brasil,0,FALSO,google_factcheck,AOS_FATOS,AFIRMACAO_CHECADA,ROTULO_FORTE,100,2024-01-30,https://www.aosfatos.org/noticias/video-bolsonaro-supermercado-auxilio-brasil-bolsa-familia/,100_150
GFC_NEG_00041,"Áudio atribuído ao Dr. Nelson Modesto dizendo o que descobriu em sua análise sobre as vacinas covid. O estudo prova que as vacinas com insumo chinês desenvolvem doença autoimune e câncer. Foi detectado citomegalovírus, HIV, HPV e outros vírus nas vacinas, que contêm nagalase, óxido de grafeno e nanopartículas de grafeno. A proteína spike provoca a doença de prion. E os políticos estão tentando calar os médicos.",0,FALSO,google_factcheck,PROJETO_COMPROVA,AFIRMACAO_CHECADA,ROTULO_FORTE,414,2021-11-11,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/vacina-contra-a-covid-19-e-segura-e-nao-gera-hiv-cancer-ou-hpv/,400_mais
GFC_NEG_00188,"o programa Farmácia Popular, sob o comando da esposa de Fernando Haddad, Ana Estela Haddad, está envolvido em tráfico internacional de drogas. Não à toa, Lula se reuniu semana passada em Santiago/Chile com diversos presidentes sul-americanos envolvidos com o narcotráfico. Todos, sem exceção, são pró-liberação das drogas e especificamente o da Colômbia, Gustavo Petro, é um conhecido usuário de cocaína.",0,ENGANOSO,google_factcheck,ESTADÃO,AFIRMACAO_CHECADA,ROTULO_FORTE,404,,https://www.estadao.com.br/estadao-verifica/ana-estela-haddad-farmacia-popular-fraude-enganoso/,400_mais
RSS_00059,Os dois temas que preocupam a frente parlamentar do ambiente de negócios — Parlamentares vão debater fim da 'taxa das blusinhas' e da escala 6x1 em almoço,1,NOTICIA_REAL,noticias_reais,VEJA_POLITICA,titulo_resumo,ROTULO_ASSUMIDO,154,2026-05-15,https://veja.abril.com.br/politica/os-dois-temas-que-preocupam-a-frente-parlamentar-do-ambiente-de-negocios/,150_200
GFC_NEG_00227,Ivermectina serve para combater a dengue,0,ENGANOSO,google_factcheck,PROJETO_COMPROVA,AFIRMACAO_CHECADA,ROTULO_FORTE,40,2024-02-19,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/videos-enganam-ao-indicar-ivermectina-para-o-tratamento-da-dengue/,0_50
RSS_00066,‘Bolsomaster’: petistas ganharam narrativa de bandeja — Revelação de áudio de Flávio Bolsonaro cobrando patrocínio do dono do Banco Master deu novo fôlego à campanha petista,1,NOTICIA_REAL,noticias_reais,VEJA_POLITICA,titulo_resumo,ROTULO_ASSUMIDO,173,2026-05-16,https://veja.abril.com.br/politica/bolsomaster-petistas-ganharam-narrativa-de-bandeja/,150_200
GFC_NEG_00020,"Publicação de um vídeo do senador Randolfe Rodrigues fazendo críticas aos ministros do Supremo Tribunal Federal (STF) Dias Toffoli e Alexandre de Moraes. As declarações são parte de uma entrevista ao vivo concedida pelo parlamentar ao programa “Os Pingos nos Is”, da Jovem Pan News. O post carrega a seguinte legenda: “Randolfe atacando o ‘estado democrático de direito’ e as instituições! Caiu isso aqui!”.",0,FORA_DE_CONTEXTO,google_factcheck,FOLHA_-_UOL,AFIRMACAO_CHECADA,ROTULO_FORTE,407,2023-07-28,https://www1.folha.uol.com.br/poder/2023/07/video-de-randolfe-rodrigues-pedindo-impeachment-de-ministros-do-stf-e-de-2019.shtml,400_mais
GFC_NEG_00100,Alexandre de Moraes diz que quem for para as ruas no dia 25 vai estar cometendo crime,0,FALSO,google_factcheck,AOS_FATOS,AFIRMACAO_CHECADA,ROTULO_FORTE,85,2024-02-21,https://www.aosfatos.org/noticias/moraes-ato-bolsonaro-crime/,50_100
GFC_VER_00007,"Eu fui ministro da Fazenda, eu cobrei uma alíquota de 35% nos supersalários.",1,GFC_VERDADEIRO,google_factcheck,AOS_FATOS,AFIRMACAO_CHECADA,ROTULO_FORTE,76,2022-08-15,https://www.aosfatos.org/noticias/checamos-ciro-gomes-roda-viva/,50_100
RSS_00207,Michelle Bolsonaro pretende alavancar candidaturas femininas no DF — Mulheres que representam os envolvidos no 8 de Janeiro contam com apoio da ex-primeira-dama na disputa por uma vaga no Congresso,1,NOTICIA_REAL,noticias_reais,VEJA_POLITICA,titulo_resumo,ROTULO_ASSUMIDO,197,2026-05-16,https://veja.abril.com.br/politica/michelle-bolsonaro-pretende-alavancar-candidaturas-femininas-no-df/,150_200
GFC_NEG_00077,Jornal Nacional: em 2026 aumenta a fiscalização do pix pela Receita Federal,0,FORA_DE_CONTEXTO,google_factcheck,ESTADÃO,AFIRMACAO_CHECADA,ROTULO_FORTE,75,,https://www.estadao.com.br/estadao-verifica/receita-nao-aumentou-monitoramento-do-pix-em-2026-video-usa-materia-antiga-do-jn/,50_100
GFC_NEG_00108,Putin diz que na Rússia golpistas são executados em referência à prisão de Bolsonaro,0,FALSO,google_factcheck,AFP_CHECAMOS,AFIRMACAO_CHECADA,ROTULO_FORTE,84,2025-11-28,https://checamos.afp.com/doc.afp.com.86J4463,50_100
GFC_NEG_00065,Lula pede ao TSE para barrar vídeos na internet durante as eleições,0,FALSO,google_factcheck,BOL_-_UOL,AFIRMACAO_CHECADA,ROTULO_FORTE,67,2026-04-14,https://www.bol.uol.com.br/noticias/2026/04/14/falso-lula-pediu-tse-proibir-videos-na-internet-eleicoes.amp.htm,50_100
GFC_VER_00022,Triste é que um deputado apresenta um projeto de lei em que o estuprador pode pegar uma pena menor do que a estuprada,1,GFC_VERDADEIRO,google_factcheck,AOS_FATOS,AFIRMACAO_CHECADA,ROTULO_FORTE,117,2024-06-18,https://www.aosfatos.org/noticias/checamos-lula-entrevista-cbn/,100_150
RSS_00184,"A disputa pela Presidência no 1º turno, segundo novo Datafolha — O instituto entrevistou 2.004 eleitores entre a terça-feira 12 e a quarta 13",1,NOTICIA_REAL,noticias_reais,CARTACAPITAL,titulo_resumo,ROTULO_ASSUMIDO,141,2026-05-16,https://www.cartacapital.com.br/politica/a-disputa-pela-presidencia-no-1o-turno-segundo-novo-datafolha-2/,100_150
RSS_00062,Lula reage na busca por reeleição com pacote de benesses e vê caso Master acuar adversários,1,NOTICIA_REAL,noticias_reais,UOL_NOTICIAS,titulo,ROTULO_ASSUMIDO,91,,https://www1.folha.uol.com.br/poder/2026/05/lula-reage-na-busca-por-reeleicao-com-pacote-de-benesses-e-ve-caso-master-acuar-adversarios.shtml,50_100
GFC_NEG_00175,Bolsonaro assume que recebeu dinheiro do inss através do careca sim,0,ENGANOSO,google_factcheck,UOL_NOTÍCIAS,AFIRMACAO_CHECADA,ROTULO_FORTE,67,,https://noticias.uol.com.br/confere/ultimas-noticias/2025/05/28/careca-inss-doacao-bolsonaro-fraude-distorcido.htm,50_100
GFC_NEG_00106,"Como é que vão condenar uma pessoa [Bolsonaro] sem nenhuma prova? Porque eles têm uma única delação de um colaborador [Mauro Cid] que mudou a versão seis, sete vezes em três dias, sob coação",0,FALSO,google_factcheck,AOS_FATOS,AFIRMACAO_CHECADA,ROTULO_FORTE,190,2025-09-08,https://www.aosfatos.org/noticias/7-de-setembro-liderancas-bolsonaristas-desinformam-processo-stf-anistia-e-adelio/,150_200
GFC_VER_00002,"“Por exemplo, nós chegamos agora no menor índice de desemprego desde 2015.”",1,GFC_VERDADEIRO,google_factcheck,AOS_FATOS,AFIRMACAO_CHECADA,ROTULO_FORTE,75,2024-09-10,https://www.aosfatos.org/noticias/checamos-roda-viva-ricardo-nunes/,50_100
GFC_NEG_00211,Matéria publicada nos EUA mostra que houve fraude nas eleições do Brasil e que Bolsonaro é o verdadeiro eleito,0,FALSO,google_factcheck,ESTADÃO,AFIRMACAO_CHECADA,ROTULO_FORTE,110,,https://www.estadao.com.br/estadao-verifica/analise-estados-unidos-fraude-eleicoes-brasileiras/,100_150
RSS_00080,"Empresa afasta chileno preso por ofensas em voo da Latam Airlines — Suspeito era executivo comercial da Landes, empresa chilena de pescados",1,NOTICIA_REAL,noticias_reais,PODER360,titulo_resumo,ROTULO_ASSUMIDO,139,2026-05-17,https://www.poder360.com.br/poder-internacional/empresa-afasta-chileno-preso-por-ofensas-em-voo-da-latam-airlines/,100_150
GFC_NEG_00015,Alexandre de Moraes admitiu que 'houve fraude' nas eleições de 2022,0,ENGANOSO,google_factcheck,ESTADÃO,AFIRMACAO_CHECADA,ROTULO_FORTE,67,,https://www.estadao.com.br/estadao-verifica/alexandre-de-moraes-nao-admitiu-fraude-nas-eleicoes-2022-video-viral-e-sobre-cota-de-genero/,50_100
GFC_NEG_00231,Parece que o Brasil DESPIOROU com o Presidente @jairmessiasbolsonaro! Com o PT a estrada era desasfaltada e com Bolsonaro ela foi desemlameada!,0,FALSO,google_factcheck,UOL_NOTÍCIAS,AFIRMACAO_CHECADA,ROTULO_FORTE,143,2021-07-21,https://noticias.uol.com.br/confere/ultimas-noticias/2021/07/21/flavio-bolsonaro-republica-video-falso-checado-ha-mais-de-um-ano.htm,100_150
RSS_00025,Saiba como pedir o reembolso de produtos Ypê suspensos pela Anvisa — Clientes devem preencher um formulário no site da empresa,1,NOTICIA_REAL,noticias_reais,CARTACAPITAL,titulo_resumo,ROTULO_ASSUMIDO,126,2026-05-16,https://www.cartacapital.com.br/saude/saiba-como-pedir-o-reembolso-de-produtos-ype-suspensos-pela-anvisa/,100_150
RSS_00073,"Bastidores de ""Dark Horse"" misturaram política e ostentação, diz jornal — Bastidores de ""Dark Horse"" reuniram conflitos ideológicos, alto investimento e celebração no dia da prisão de Jair Bolsonaro",1,NOTICIA_REAL,noticias_reais,CORREIO_BRAZILIENSE,titulo_resumo,ROTULO_ASSUMIDO,198,2026-05-16,https://www.correiobraziliense.com.br/politica/2026/05/7421285-bastidores-de-dark-horse-misturaram-politica-e-ostentacao-diz-jornal.html,150_200
GFC_VER_00004,Concedemos um auxílio emergencial de 800 dólares para 68 milhões de pessoas em 2020.,1,GFC_VERDADEIRO,google_factcheck,AOS_FATOS,AFIRMACAO_CHECADA,ROTULO_FORTE,84,2021-09-21,https://www.aosfatos.org/noticias/checamos-bolsonaro-assembleia-geral-onu/,50_100
RSS_00226,"Dino abre processo para apurar uso de emendas em filme sobre Bolsonaro — Ordem do ministro do STF, ainda em caráter preliminar e com sigilo, tem como base pedidos de parlamentares",1,NOTICIA_REAL,noticias_reais,CORREIO_BRAZILIENSE,titulo_resumo,ROTULO_ASSUMIDO,179,2026-05-16,https://www.correiobraziliense.com.br/politica/2026/05/7421043-dino-abre-processo-para-apurar-uso-de-emendas-em-filme-sobre-bolsonaro.html,150_200
RSS_00113,"Aliados de Flávio Bolsonaro criticam reação da pré-campanha à crise sobre pagamento de Vorcaro — Interlocutores do senador Flávio Bolsonaro ( PL -RJ) criticaram de forma reservada a resposta da pré-campanha à crise deflagrada pela reportagem do site Intercept Brasil que expôs o contato entre o presidenciável e o dono do Banco Master , Daniel Vorcaro , na negociação de R$ 134 milhões para bancar a produção do filme ""Dark Horse"", a respeito de Jair Bolsonaro (PL). Leia mais (05/14/2026 - 17h00)",1,NOTICIA_REAL,noticias_reais,FOLHA_PODER,titulo_resumo,ROTULO_ASSUMIDO,497,2026-05-14,https://redir.folha.com.br/redir/online/poder/rss091/*https://www1.folha.uol.com.br/poder/2026/05/aliados-de-flavio-bolsonaro-criticam-reacao-da-pre-campanha-a-crise-sobre-pagamento-de-vorcaro.shtml,400_mais
